date,quality_grade,AQI,AQI_ranking,PM25,PM10,So2,No2,Co,O3
2018-06-18,轻度污染,126,364,80.0,92.0,2.0,33.0,0.88,116.0
2018-06-19,良,92,343,49.0,69.0,3.0,26.0,0.91,119.0
2018-06-20,良,79,304,38.0,50.0,2.0,29.0,0.7,106.0
2018-06-21,良,91,302,25.0,61.0,5.0,33.0,0.71,133.0
2018-06-22,良,90,309,56.0,87.0,6.0,49.0,1.05,106.0
2018-06-23,轻度污染,128,358,55.0,84.0,3.0,32.0,0.8,181.0
2018-06-24,轻度污染,121,347,54.0,94.0,3.0,32.0,0.75,170.0
2018-06-25,轻度污染,109,363,76.0,113.0,4.0,41.0,1.02,143.0
2018-06-26,中度污染,183,365,124.0,44.0,3.0,34.0,1.58,141.0
2018-06-27,良,57,254,25.0,49.0,2.0,32.0,0.49,73.0
2018-06-28,优,40,130,8.0,23.0,3.0,21.0,0.3,79.0
2018-06-29,良,71,258,17.0,56.0,2.0,41.0,0.45,92.0
2018-06-30,轻度污染,108,361,31.0,74.0,4.0,33.0,0.83,140.0
2018-07-01,良,80,312,46.0,57.0,3.0,24.0,0.92,115.0
2018-07-02,良,72,302,42.0,55.0,2.0,22.0,0.76,92.0
2018-07-03,良,85,327,53.0,54.0,2.0,22.0,0.76,108.0
2018-07-04,轻度污染,112,360,57.0,78.0,2.0,29.0,0.82,138.0
2018-07-05,轻度污染,126,362,69.0,107.0,3.0,33.0,1.09,142.0
2018-07-06,良,92,326,33.0,54.0,2.0,23.0,0.87,142.0
2018-07-07,良,72,326,51.0,55.0,2.0,25.0,0.84,42.0
2018-07-08,良,81,349,50.0,29.0,2.0,21.0,0.83,91.0
2018-07-09,轻度污染,103,364,77.0,44.0,2.0,27.0,0.9,57.0
2018-07-10,优,49,241,32.0,34.0,2.0,20.0,0.69,63.0
2018-07-11,优,43,161,28.0,27.0,2.0,32.0,0.61,47.0
2018-07-12,优,44,187,30.0,25.0,2.0,28.0,0.7,46.0
2018-07-13,良,59,295,41.0,49.0,2.0,36.0,0.82,55.0
2018-07-14,良,80,353,49.0,43.0,2.0,22.0,0.72,95.0
2018-07-15,良,99,355,58.0,54.0,3.0,27.0,0.85,110.0
2018-07-16,优,45,181,26.0,29.0,2.0,25.0,0.72,58.0
2018-07-17,优,27,30,17.0,16.0,2.0,25.0,0.66,46.0
2018-07-18,轻度污染,105,362,78.0,58.0,2.0,24.0,1.22,67.0
2018-07-19,良,91,351,67.0,63.0,4.0,31.0,0.92,75.0
2018-07-20,轻度污染,114,364,83.0,57.0,3.0,26.0,1.02,104.0
2018-07-21,轻度污染,107,361,68.0,81.0,3.0,20.0,0.8,123.0
2018-07-22,良,69,287,42.0,50.0,2.0,24.0,0.77,71.0
2018-07-23,良,81,342,52.0,60.0,2.0,22.0,0.88,81.0
2018-07-24,优,27,33,16.0,22.0,2.0,16.0,0.59,32.0
2018-07-25,优,36,71,9.0,16.0,2.0,16.0,0.47,71.0
2018-07-26,优,48,165,10.0,28.0,2.0,22.0,0.49,86.0
2018-07-27,良,68,318,45.0,56.0,2.0,21.0,1.05,102.0
2018-07-28,良,94,344,53.0,66.0,2.0,19.0,1.04,128.0
2018-07-29,轻度污染,111,365,71.0,89.0,2.0,26.0,1.22,126.0
2018-07-30,轻度污染,116,365,71.0,87.0,2.0,26.0,1.1,126.0
2018-07-31,轻度污染,118,366,61.0,83.0,3.0,28.0,1.05,135.0
2018-08-01,轻度污染,109,366,55.0,83.0,2.0,25.0,1.03,148.0
2018-08-02,轻度污染,130,366,83.0,102.0,4.0,23.0,1.49,139.0
2018-08-03,良,100,349,53.0,81.0,2.0,26.0,0.97,123.0
2018-08-04,轻度污染,122,359,63.0,97.0,9.0,26.0,1.24,163.0
2018-08-05,良,67,288,35.0,58.0,3.0,18.0,0.8,94.0
2018-08-06,良,53,187,36.0,49.0,11.0,30.0,1.39,51.0
2018-08-07,良,86,339,58.0,64.0,2.0,24.0,1.24,89.0
2018-08-08,优,41,97,19.0,22.0,3.0,18.0,0.89,63.0
2018-08-09,良,67,259,24.0,35.0,1.0,25.0,0.92,98.0
2018-08-10,轻度污染,102,346,30.0,47.0,4.0,24.0,0.82,140.0
2018-08-11,良,69,227,40.0,46.0,2.0,22.0,1.03,107.0
2018-08-12,良,74,291,53.0,39.0,4.0,22.0,1.19,77.0
2018-08-13,良,66,299,46.0,49.0,2.0,22.0,1.01,103.0
2018-08-14,优,41,169,22.0,30.0,3.0,17.0,0.74,61.0
2018-08-15,优,37,119,12.0,27.0,1.0,21.0,0.5,66.0
2018-08-16,良,53,294,12.0,29.0,4.0,20.0,0.42,100.0
2018-08-17,良,100,359,32.0,63.0,2.0,30.0,0.63,152.0
2018-08-18,优,46,204,13.0,23.0,4.0,22.0,0.49,77.0
2018-08-19,优,40,129,20.0,36.0,2.0,27.0,0.73,51.0
2018-08-20,良,51,213,22.0,38.0,4.0,20.0,0.7,87.0
2018-08-21,优,44,101,12.0,32.0,1.0,24.0,0.43,84.0
2018-08-22,优,47,133,17.0,47.0,4.0,39.0,0.63,43.0
2018-08-23,良,51,132,15.0,40.0,2.0,27.0,0.58,86.0
2018-08-25,良,90,302,34.0,74.0,3.0,24.0,0.72,136.0
2018-08-27,轻度污染,114,351,59.0,83.0,5.0,29.0,1.02,147.0
2018-08-29,优,44,166,6.0,24.0,1.0,19.0,0.41,91.0
2018-08-31,良,62,303,14.0,30.0,2.0,21.0,0.51,119.0
