date,AQI,PM25,PM10,So2,No2,Co,O3,AQI_pred
2017-07-19,101.0,73.0,83.0,2.0,24.0,0.75,101.0,105.855774
2017-07-20,127.0,96.0,113.0,2.0,29.0,0.78,104.0,137.13426
2017-07-21,43.0,22.0,24.0,2.0,24.0,0.67,60.0,39.947052
2017-07-22,37.0,21.0,35.0,2.0,29.0,0.61,46.0,38.435486
2017-07-23,60.0,41.0,58.0,2.0,35.0,0.69,52.0,64.463455
2017-07-24,60.0,40.0,57.0,2.0,38.0,0.76,26.0,60.64099
2017-07-25,58.0,31.0,48.0,3.0,31.0,0.81,71.0,54.341408
2017-07-26,41.0,21.0,33.0,2.0,29.0,0.68,62.0,43.979496
2017-07-27,58.0,38.0,64.0,2.0,44.0,0.93,49.0,61.16092
2017-07-28,54.0,26.0,57.0,2.0,41.0,0.71,62.0,56.663857
2017-07-29,63.0,31.0,59.0,2.0,37.0,0.66,79.0,59.388668
2017-07-30,83.0,36.0,66.0,2.0,33.0,0.65,104.0,72.88781
2017-07-31,128.0,75.0,100.0,2.0,34.0,0.92,143.0,125.875305
2017-08-01,98.0,67.0,86.0,2.0,29.0,0.96,92.0,98.38168
2017-08-02,51.0,33.0,50.0,3.0,24.0,1.04,47.0,52.550278
2017-08-03,47.0,19.0,37.0,2.0,17.0,0.6,85.0,47.502754
2017-08-04,68.0,20.0,43.0,2.0,34.0,0.54,92.0,59.808823
2017-08-05,75.0,25.0,57.0,2.0,33.0,0.62,108.0,74.18134
2017-08-06,53.0,16.0,33.0,2.0,27.0,0.47,87.0,50.070538
2017-08-07,50.0,9.0,32.0,2.0,29.0,0.4,90.0,49.95375
2017-08-08,96.0,27.0,67.0,2.0,37.0,0.64,121.0,85.41124
2017-08-09,59.0,21.0,34.0,2.0,23.0,0.54,103.0,59.064953
2017-08-10,90.0,62.0,83.0,2.0,31.0,0.75,106.0,95.74388
2017-08-11,123.0,89.0,98.0,2.0,36.0,1.14,88.0,118.907166
2017-08-12,46.0,29.0,36.0,2.0,34.0,0.73,68.0,51.805008
2017-08-13,60.0,39.0,50.0,2.0,34.0,0.87,49.0,58.718517
2017-08-14,52.0,26.0,40.0,2.0,25.0,0.74,83.0,54.035618
2017-08-15,77.0,52.0,73.0,3.0,30.0,0.91,94.0,79.26142
2017-08-16,87.0,56.0,71.0,2.0,36.0,0.86,62.0,85.49205
2017-08-17,48.0,21.0,34.0,2.0,26.0,0.67,73.0,47.36262
2017-08-18,76.0,51.0,72.0,2.0,50.0,1.14,60.0,75.724075
2017-08-19,64.0,41.0,50.0,2.0,31.0,1.0,75.0,67.24835
2017-08-20,84.0,59.0,71.0,2.0,35.0,1.19,77.0,83.000824
2017-08-21,103.0,68.0,92.0,2.0,36.0,1.04,108.0,98.331276
2017-08-22,104.0,77.0,94.0,2.0,33.0,0.93,67.0,105.710495
2017-08-23,48.0,10.0,28.0,2.0,25.0,0.51,81.0,45.033413
2017-08-24,41.0,13.0,36.0,2.0,35.0,0.52,40.0,38.598663
2017-08-25,38.0,8.0,34.0,2.0,35.0,0.41,38.0,37.185818
2017-08-26,50.0,13.0,53.0,2.0,46.0,0.52,29.0,46.867966
2017-08-27,35.0,16.0,27.0,2.0,27.0,0.52,55.0,36.192974
2017-08-28,36.0,18.0,17.0,2.0,25.0,0.49,39.0,30.778381
2017-08-29,43.0,14.0,45.0,3.0,34.0,0.47,41.0,43.621895
2017-08-30,74.0,50.0,85.0,3.0,42.0,0.79,70.0,80.11424
2017-08-31,106.0,79.0,97.0,2.0,33.0,0.88,65.0,109.365585
2017-09-01,177.0,134.0,149.0,2.0,38.0,1.39,71.0,175.84329
2017-09-02,148.0,109.0,118.0,2.0,32.0,1.16,79.0,145.49536
