date,AQI,PM25,PM10,So2,No2,Co,O3,AQI_pred
2018-04-12,78.0,30.0,106.0,8.0,38.0,0.61,64.0,80.14801
2018-04-13,64.0,37.0,59.0,8.0,54.0,1.18,34.0,60.67079
2018-04-14,122.0,28.0,171.0,1.0,12.0,0.3,82.0,118.87411
2018-04-15,66.0,22.0,84.0,3.0,27.0,0.33,74.0,69.46922
2018-04-16,104.0,68.0,151.0,9.0,48.0,0.66,80.0,107.44506
2018-04-17,142.0,97.0,217.0,9.0,40.0,0.81,100.0,142.03429
2018-04-18,144.0,107.0,208.0,9.0,45.0,0.86,93.0,140.25662
2018-04-19,170.0,123.0,192.0,8.0,52.0,1.01,116.0,163.43466
2018-04-20,173.0,123.0,157.0,13.0,41.0,1.4,145.0,167.57928
2018-04-21,102.0,72.0,49.0,3.0,36.0,1.03,67.0,96.987434
2018-04-22,35.0,9.0,18.0,2.0,18.0,0.38,67.0,33.085
2018-04-23,41.0,15.0,32.0,2.0,24.0,0.41,76.0,42.916817
2018-04-24,45.0,17.0,36.0,3.0,36.0,0.42,68.0,45.431854
2018-04-25,61.0,30.0,62.0,3.0,43.0,0.46,81.0,59.43885
2018-04-26,118.0,88.0,110.0,7.0,49.0,0.76,94.0,121.31797
2018-04-27,111.0,41.0,169.0,3.0,39.0,0.58,87.0,114.48549
2018-04-28,129.0,86.0,165.0,9.0,53.0,0.76,112.0,126.90066
2018-04-29,196.0,151.0,175.0,7.0,61.0,1.07,103.0,195.71228
2018-04-30,62.0,28.0,69.0,4.0,23.0,0.65,85.0,62.14985
2018-05-01,125.0,40.0,176.0,2.0,28.0,0.46,57.0,123.39012
2018-05-02,45.0,15.0,43.0,2.0,22.0,0.28,70.0,46.162617
2018-05-03,50.0,13.0,51.0,2.0,25.0,0.26,79.0,50.91318
2018-05-04,87.0,57.0,108.0,7.0,53.0,0.59,89.0,90.195404
2018-05-05,179.0,78.0,246.0,4.0,45.0,0.52,70.0,163.26944
2018-05-06,121.0,59.0,190.0,3.0,40.0,0.51,82.0,127.90792
2018-05-07,102.0,55.0,137.0,8.0,34.0,0.76,115.0,101.44305
2018-05-08,68.0,27.0,76.0,4.0,39.0,0.49,81.0,65.47136
2018-05-09,86.0,43.0,96.0,7.0,46.0,0.63,100.0,82.59088
2018-05-10,122.0,89.0,138.0,11.0,60.0,1.03,119.0,126.23326
2018-05-11,105.0,78.0,107.0,5.0,50.0,0.84,86.0,107.78363
2018-05-12,190.0,139.0,132.0,3.0,43.0,1.51,80.0,180.06104
2018-05-13,72.0,44.0,78.0,5.0,38.0,0.58,96.0,75.05484
2018-05-14,168.0,118.0,150.0,6.0,43.0,1.21,137.0,164.4718
2018-05-15,95.0,67.0,102.0,4.0,39.0,1.02,101.0,96.01446
2018-05-16,147.0,111.0,75.0,4.0,36.0,1.81,93.0,147.61395
2018-05-17,64.0,43.0,52.0,2.0,27.0,0.95,60.0,64.90528
2018-05-18,60.0,21.0,47.0,3.0,25.0,0.53,108.0,64.86362
2018-05-19,78.0,36.0,70.0,4.0,41.0,0.74,100.0,75.05127
2018-05-20,59.0,36.0,45.0,2.0,28.0,0.77,89.0,62.681175
2018-05-21,82.0,60.0,25.0,2.0,36.0,1.02,35.0,81.87713
2018-05-22,105.0,42.0,133.0,1.0,24.0,0.4,63.0,101.982124
2018-05-23,142.0,56.0,231.0,4.0,39.0,0.47,77.0,150.14294
2018-05-24,107.0,49.0,129.0,7.0,49.0,0.74,118.0,106.750404
2018-05-25,111.0,60.0,126.0,6.0,38.0,0.76,131.0,109.17689
2018-05-26,140.0,99.0,167.0,3.0,35.0,0.81,87.0,136.91779
2018-05-27,89.0,42.0,125.0,2.0,31.0,0.35,83.0,94.79683
2018-05-28,188.0,64.0,256.0,2.0,22.0,0.24,67.0,176.01915
2018-05-29,46.0,12.0,38.0,2.0,30.0,0.31,67.0,42.19135
2018-05-30,56.0,12.0,36.0,2.0,32.0,0.34,94.0,54.643448
2018-05-31,97.0,26.0,66.0,5.0,42.0,0.56,130.0,90.50086
2018-06-01,91.0,26.0,66.0,2.0,44.0,0.47,130.0,90.81308
2018-06-02,120.0,47.0,101.0,7.0,48.0,0.7,159.0,119.960464
2018-06-03,92.0,53.0,125.0,3.0,37.0,0.64,105.0,96.324326
2018-06-04,76.0,28.0,86.0,2.0,38.0,0.42,98.0,77.105415
2018-06-05,110.0,38.0,117.0,6.0,44.0,0.55,135.0,105.36375
2018-06-06,116.0,48.0,139.0,8.0,42.0,0.69,151.0,122.053894
2018-06-07,71.0,23.0,58.0,2.0,23.0,0.48,113.0,68.97781
2018-06-08,52.0,13.0,36.0,2.0,30.0,0.42,87.0,50.412655
2018-06-09,52.0,20.0,43.0,2.0,29.0,0.53,81.0,51.31421
2018-06-10,60.0,31.0,32.0,1.0,21.0,0.67,103.0,62.851585
2018-06-11,88.0,63.0,61.0,1.0,29.0,0.78,106.0,92.06505
2018-06-12,125.0,84.0,94.0,2.0,43.0,0.94,111.0,120.308395
2018-06-13,77.0,46.0,38.0,2.0,30.0,0.88,82.0,72.383385
2018-06-14,66.0,21.0,38.0,2.0,35.0,0.61,105.0,70.99182
2018-06-15,130.0,80.0,46.0,4.0,28.0,1.41,128.0,126.49248
2018-06-16,111.0,77.0,69.0,2.0,28.0,0.94,124.0,114.233894
2018-06-17,77.0,45.0,59.0,2.0,27.0,0.77,121.0,83.32546
2018-06-18,126.0,80.0,92.0,2.0,33.0,0.88,116.0,120.369
2018-06-19,92.0,49.0,69.0,3.0,26.0,0.91,119.0,86.48412
2018-06-20,79.0,38.0,50.0,2.0,29.0,0.7,106.0,71.69572
2018-06-21,91.0,25.0,61.0,5.0,33.0,0.71,133.0,89.43575
2018-06-22,90.0,56.0,87.0,6.0,49.0,1.05,106.0,91.12358
2018-06-23,128.0,55.0,84.0,3.0,32.0,0.8,181.0,130.30104
2018-06-24,121.0,54.0,94.0,3.0,32.0,0.75,170.0,120.87694
2018-06-25,109.0,76.0,113.0,4.0,41.0,1.02,143.0,119.181046
2018-06-26,183.0,124.0,44.0,3.0,34.0,1.58,141.0,180.56555
2018-06-27,57.0,25.0,49.0,2.0,32.0,0.49,73.0,51.916595
2018-06-28,40.0,8.0,23.0,3.0,21.0,0.3,79.0,38.15735
2018-06-29,71.0,17.0,56.0,2.0,41.0,0.45,92.0,67.313126
2018-06-30,108.0,31.0,74.0,4.0,33.0,0.83,140.0,98.78073
2018-07-01,80.0,46.0,57.0,3.0,24.0,0.92,115.0,80.80873
2018-07-02,72.0,42.0,55.0,2.0,22.0,0.76,92.0,69.35646
2018-07-03,85.0,53.0,54.0,2.0,22.0,0.76,108.0,79.00058
2018-07-04,112.0,57.0,78.0,2.0,29.0,0.82,138.0,104.56203
2018-07-05,126.0,69.0,107.0,3.0,33.0,1.09,142.0,118.04956
2018-07-06,92.0,33.0,54.0,2.0,23.0,0.87,142.0,93.703545
2018-07-07,72.0,51.0,55.0,2.0,25.0,0.84,42.0,75.80526
2018-07-08,81.0,50.0,29.0,2.0,21.0,0.83,91.0,75.53196
2018-07-09,103.0,77.0,44.0,2.0,27.0,0.9,57.0,107.06308
2018-07-10,49.0,32.0,34.0,2.0,20.0,0.69,63.0,50.613224
2018-07-11,43.0,28.0,27.0,2.0,32.0,0.61,47.0,42.04846
2018-07-12,44.0,30.0,25.0,2.0,28.0,0.7,46.0,43.469196
2018-07-13,59.0,41.0,49.0,2.0,36.0,0.82,55.0,61.232483
2018-07-14,80.0,49.0,43.0,2.0,22.0,0.72,95.0,75.727516
2018-07-15,99.0,58.0,54.0,3.0,27.0,0.85,110.0,87.21869
2018-07-16,45.0,26.0,29.0,2.0,25.0,0.72,58.0,42.78323
2018-07-17,27.0,17.0,16.0,2.0,25.0,0.66,46.0,32.022114
2018-07-18,105.0,78.0,58.0,2.0,24.0,1.22,67.0,105.44447
2018-07-19,91.0,67.0,63.0,4.0,31.0,0.92,75.0,94.437996
2018-07-20,114.0,83.0,57.0,3.0,26.0,1.02,104.0,110.96513
2018-07-21,107.0,68.0,81.0,3.0,20.0,0.8,123.0,104.58107
2018-07-22,69.0,42.0,50.0,2.0,24.0,0.77,71.0,66.23151
2018-07-23,81.0,52.0,60.0,2.0,22.0,0.88,81.0,81.27409
2018-07-24,27.0,16.0,22.0,2.0,16.0,0.59,32.0,29.565128
2018-07-25,36.0,9.0,16.0,2.0,16.0,0.47,71.0,34.436348
2018-07-26,48.0,10.0,28.0,2.0,22.0,0.49,86.0,45.49321
2018-07-27,68.0,45.0,56.0,2.0,21.0,1.05,102.0,74.78381
2018-07-28,94.0,53.0,66.0,2.0,19.0,1.04,128.0,94.036354
2018-07-29,111.0,71.0,89.0,2.0,26.0,1.22,126.0,107.04152
2018-07-30,116.0,71.0,87.0,2.0,26.0,1.1,126.0,112.49822
2018-07-31,118.0,61.0,83.0,3.0,28.0,1.05,135.0,109.23043
2018-08-01,109.0,55.0,83.0,2.0,25.0,1.03,148.0,110.24256
2018-08-02,130.0,83.0,102.0,4.0,23.0,1.49,139.0,125.368256
2018-08-03,100.0,53.0,81.0,2.0,26.0,0.97,123.0,94.336685
2018-08-04,122.0,63.0,97.0,9.0,26.0,1.24,163.0,120.09505
2018-08-05,67.0,35.0,58.0,3.0,18.0,0.8,94.0,62.248894
2018-08-06,53.0,36.0,49.0,11.0,30.0,1.39,51.0,54.613052
2018-08-07,86.0,58.0,64.0,2.0,24.0,1.24,89.0,81.59095
2018-08-08,41.0,19.0,22.0,3.0,18.0,0.89,63.0,39.582577
2018-08-09,67.0,24.0,35.0,1.0,25.0,0.92,98.0,64.90792
2018-08-10,102.0,30.0,47.0,4.0,24.0,0.82,140.0,90.810486
2018-08-11,69.0,40.0,46.0,2.0,22.0,1.03,107.0,74.251144
2018-08-12,74.0,53.0,39.0,4.0,22.0,1.19,77.0,78.623085
2018-08-13,66.0,46.0,49.0,2.0,22.0,1.01,103.0,75.869705
2018-08-14,41.0,22.0,30.0,3.0,17.0,0.74,61.0,39.6495
2018-08-15,37.0,12.0,27.0,1.0,21.0,0.5,66.0,37.501034
2018-08-16,53.0,12.0,29.0,4.0,20.0,0.42,100.0,49.350105
2018-08-17,100.0,32.0,63.0,2.0,30.0,0.63,152.0,100.22664
2018-08-18,46.0,13.0,23.0,4.0,22.0,0.49,77.0,40.729446
2018-08-19,40.0,20.0,36.0,2.0,27.0,0.73,51.0,40.124226
2018-08-20,51.0,22.0,38.0,4.0,20.0,0.7,87.0,50.700035
2018-08-21,44.0,12.0,32.0,1.0,24.0,0.43,84.0,46.353855
2018-08-22,47.0,17.0,47.0,4.0,39.0,0.63,43.0,45.554115
2018-08-23,51.0,15.0,40.0,2.0,27.0,0.58,86.0,52.861862
2018-08-25,90.0,34.0,74.0,3.0,24.0,0.72,136.0,87.842766
2018-08-27,114.0,59.0,83.0,5.0,29.0,1.02,147.0,111.77161
2018-08-29,44.0,6.0,24.0,1.0,19.0,0.41,91.0,44.387367
2018-08-31,62.0,14.0,30.0,2.0,21.0,0.51,119.0,67.621956
2018-09-01,88.5,50.64,72.55,4.89,35.33,0.86,75.73,78.987854
2018-09-02,88.51,50.65,72.52,4.89,35.32,0.86,75.75,78.997116
