日期,AQI指数,PM2.5,PM10,So2,No2,Co,O3
2017-09-15,83,58,98,3,59,0.84,59
2017-09-16,116,87,124,3,60,1.04,74
2017-09-17,36,10,30,2,32,0.37,53
2017-09-18,61,21,70,2,53,0.55,62
2017-09-19,47,12,48,2,44,0.44,42
2017-09-20,47,12,51,2,44,0.41,47
2017-09-21,88,55,115,7,73,0.94,66
2017-09-22,69,24,90,2,38,0.46,53
2017-09-23,117,46,183,5,68,0.82,47
2017-09-24,100,59,146,4,54,0.97,84
2017-09-25,103,75,129,7,45,1.44,79
2017-09-26,74,48,67,2,40,0.71,35
2017-09-27,53,26,58,3,47,0.92,14
2017-09-28,33,9,33,2,27,0.32,41
2017-09-29,74,40,95,3,67,0.72,34
2017-09-30,144,107,155,4,66,1.11,56
2017-10-01,111,73,91,1,47,0.75,52
2017-10-02,42,12,44,3,32,0.5,24
2017-10-03,34,15,33,1,32,0.43,23
2017-10-05,74,53,77,4,38,0.72,45
2017-10-06,91,67,89,5,47,0.78,43
2017-10-07,146,109,131,2,71,1.11,11
2017-10-08,168,126,91,2,67,1.26,5
2017-10-09,45,29,10,2,29,0.64,20
2017-10-10,19,5,8,2,18,0.33,31
2017-10-11,22,10,20,2,26,0.41,22
2017-10-12,35,19,35,2,37,0.49,22
2017-10-13,53,35,53,1,45,0.75,22
2017-10-14,34,14,32,3,41,0.61,18
2017-10-15,64,46,52,2,38,1.01,21
2017-10-16,56,38,51,3,39,0.92,29
2017-10-17,92,68,80,2,46,1.19,25
2017-10-18,90,67,22,2,44,1.18,17
2017-10-19,74,53,20,1,36,1.16,24
2017-10-20,123,93,47,2,44,1.36,25
2017-10-21,103,75,57,2,36,1.31,36
2017-10-22,54,37,47,3,41,0.89,16
2017-10-23,49,34,43,2,36,0.66,24
2017-10-24,90,66,76,2,44,0.91,30
2017-10-25,141,106,58,2,52,1.27,16
2017-10-26,195,149,17,2,65,1.56,11
2017-10-27,217,166,0,2,65,1.54,20
2017-10-28,78,47,48,1,26,0.66,38
2017-10-29,27,7,21,2,24,0.34,39
2017-10-30,40,17,41,3,44,0.53,24
2017-10-31,83,56,98,4,69,0.94,7
2017-11-01,88,63,99,2,76,1.01,12
2017-11-02,75,50,84,5,55,0.91,27
2017-11-03,28,7,27,2,27,0.34,39
2017-11-04,56,33,60,3,51,0.73,22
2017-11-05,131,98,118,5,67,1.23,17
2017-11-06,200,151,136,4,67,1.48,25
2017-11-07,129,86,74,2,43,0.93,35
2017-11-08,41,18,42,5,48,0.79,19
2017-11-09,75,50,89,5,61,1.34,8
2017-11-10,40,9,39,2,15,0.31,49
2017-11-11,35,16,34,3,34,0.42,24
2017-11-12,75,53,89,5,61,0.97,7
2017-11-13,63,26,71,2,30,0.62,38
2017-11-14,30,9,27,2,23,0.44,39
2017-11-15,38,14,36,2,35,0.51,35
2017-11-16,76,55,83,9,69,1.29,10
2017-11-17,57,24,59,4,32,0.67,40
2017-11-18,54,34,54,5,31,0.58,38
2017-11-19,115,86,114,8,69,1.27,8
2017-11-20,135,101,128,10,83,1.82,11
2017-11-21,166,119,161,11,85,1.83,20
2017-11-22,35,7,33,2,16,0.33,52
2017-11-23,31,6,28,2,19,0.37,43
2017-11-24,40,18,44,5,31,0.53,33
2017-11-25,63,39,74,7,57,0.97,16
2017-11-26,36,10,27,2,22,0.39,49
2017-11-27,91,67,92,9,69,1.37,8
2017-11-28,75,39,78,4,39,0.86,36
2017-11-29,34,12,32,3,32,0.48,33
2017-11-30,45,22,46,6,41,0.68,28
2017-12-01,91,67,99,10,66,1.26,12
2017-12-02,187,144,177,15,103,2.24,5
2017-12-03,79,52,72,6,41,0.92,40
2017-12-04,28,5,21,1,15,0.34,53
2017-12-05,44,22,46,5,43,0.72,27
2017-12-06,49,23,53,6,41,0.78,32
2017-12-07,27,8,25,4,19,0.42,39
2017-12-08,41,20,43,5,40,0.73,23
2017-12-09,56,33,62,8,58,1.04,16
2017-12-10,43,6,45,2,13,0.28,61
2017-12-11,28,5,20,2,15,0.32,54
2017-12-12,28,12,25,3,30,0.55,27
2017-12-13,49,31,49,6,50,0.87,10
2017-12-14,94,70,85,18,68,1.76,6
2017-12-15,62,35,57,6,34,0.85,37
2017-12-16,40,7,39,1,10,0.32,58
2017-12-17,46,24,48,5,48,0.76,30
2017-12-18,48,13,49,3,21,0.44,47
2017-12-19,55,34,66,8,47,0.74,20
2017-12-20,44,21,44,4,40,0.65,36
2017-12-21,74,51,77,12,77,1.33,9
2017-12-22,62,36,63,9,55,1.07,29
2017-12-23,50,30,55,10,60,1.02,13
2017-12-24,50,14,50,3,17,0.42,59
2017-12-25,46,28,46,8,44,0.69,28
2017-12-26,41,22,42,6,45,0.73,31
2017-12-27,101,75,91,10,69,1.45,7
2017-12-28,140,105,120,11,68,1.86,10
2017-12-29,221,172,194,6,85,2.9,6
2017-12-30,157,116,129,4,62,2.03,22
2017-12-31,55,29,62,5,47,0.83,21
2018-01-01,55,35,65,11,46,1.23,23
2018-01-02,46,27,48,6,35,0.94,28
2018-01-03,29,10,26,4,20,0.44,44
2018-01-04,28,14,27,4,31,0.51,32
2018-01-05,51,30,52,8,51,0.95,20
2018-01-06,29,14,27,5,38,0.57,35
2018-01-07,56,37,57,10,46,0.92,27
2018-01-08,51,12,56,3,10,0.34,60
2018-01-09,37,6,32,2,12,0.35,58
2018-01-10,32,5,20,2,8,0.3,62
2018-01-11,30,10,21,4,22,0.47,46
2018-01-12,77,55,77,12,72,1.32,11
2018-01-13,130,98,122,17,85,1.83,8
2018-01-14,177,136,151,13,77,1.91,23
2018-01-15,48,29,52,7,48,0.94,29
2018-01-16,114,45,175,5,43,0.79,37
2018-01-17,77,43,106,9,51,1.09,31
2018-01-18,87,56,96,11,74,1.19,14
2018-01-19,108,80,119,14,78,1.56,19
2018-01-20,61,30,73,9,51,0.88,24
2018-01-21,63,35,74,20,47,1.3,21
2018-01-22,45,23,47,4,28,0.7,45
2018-01-23,35,8,29,3,14,0.44,58
2018-01-24,36,15,30,4,28,0.48,52
2018-01-25,29,8,21,3,26,0.44,52
2018-01-26,39,24,36,7,43,0.6,34
