日期,AQI指数,PM2.5,PM10,So2,No2,Co,O3,y_pred
2017-07-08,80.0,36.0,57.0,1.0,28.0,0.63,129.0,82.98345
2017-07-09,125.0,73.0,98.0,2.0,28.0,1.02,152.0,124.43585
2017-07-10,80.0,24.0,52.0,2.0,30.0,0.5,124.0,78.26669
2017-07-11,118.0,43.0,88.0,3.0,40.0,0.78,171.0,121.773186
2017-07-12,136.0,73.0,131.0,3.0,38.0,0.92,165.0,133.07571
2017-07-13,101.0,65.0,93.0,3.0,24.0,0.74,131.0,106.11154
2017-07-14,71.0,32.0,62.0,2.0,34.0,0.64,112.0,80.7954
2017-07-15,71.0,34.0,45.0,2.0,26.0,0.89,111.0,73.21428
2017-07-16,110.0,63.0,84.0,2.0,34.0,1.11,123.0,104.97782
2017-07-17,84.0,53.0,71.0,2.0,28.0,1.01,105.0,85.28373
2017-07-18,87.0,62.0,80.0,2.0,26.0,0.89,91.0,93.21517
2017-07-19,101.0,73.0,83.0,2.0,24.0,0.75,101.0,104.21593
2017-07-20,127.0,96.0,113.0,2.0,29.0,0.78,104.0,129.90726
2017-07-21,43.0,22.0,24.0,2.0,24.0,0.67,60.0,38.908966
2017-07-22,37.0,21.0,35.0,2.0,29.0,0.61,46.0,40.539734
2017-07-23,60.0,41.0,58.0,2.0,35.0,0.69,52.0,64.78496
2017-07-24,60.0,40.0,57.0,2.0,38.0,0.76,26.0,63.506004
2017-07-25,58.0,31.0,48.0,3.0,31.0,0.81,71.0,55.709526
2017-07-26,41.0,21.0,33.0,2.0,29.0,0.68,62.0,44.817192
2017-07-27,58.0,38.0,64.0,2.0,44.0,0.93,49.0,62.86933
2017-07-28,54.0,26.0,57.0,2.0,41.0,0.71,62.0,56.88416
2017-07-29,63.0,31.0,59.0,2.0,37.0,0.66,79.0,64.36016
2017-07-30,83.0,36.0,66.0,2.0,33.0,0.65,104.0,76.457115
2017-07-31,128.0,75.0,100.0,2.0,34.0,0.92,143.0,122.46338
2017-08-01,98.0,67.0,86.0,2.0,29.0,0.96,92.0,98.57504
2017-08-02,51.0,33.0,50.0,3.0,24.0,1.04,47.0,53.661026
2017-08-03,47.0,19.0,37.0,2.0,17.0,0.6,85.0,46.945866
2017-08-04,68.0,20.0,43.0,2.0,34.0,0.54,92.0,62.205986
2017-08-05,75.0,25.0,57.0,2.0,33.0,0.62,108.0,76.92423
2017-08-06,53.0,16.0,33.0,2.0,27.0,0.47,87.0,49.320915
2017-08-07,50.0,9.0,32.0,2.0,29.0,0.4,90.0,51.22997
2017-08-08,96.0,27.0,67.0,2.0,37.0,0.64,121.0,90.07128
2017-08-09,59.0,21.0,34.0,2.0,23.0,0.54,103.0,57.02841
2017-08-10,90.0,62.0,83.0,2.0,31.0,0.75,106.0,94.68952
2017-08-11,123.0,89.0,98.0,2.0,36.0,1.14,88.0,121.30364
2017-08-12,46.0,29.0,36.0,2.0,34.0,0.73,68.0,50.899548
2017-08-13,60.0,39.0,50.0,2.0,34.0,0.87,49.0,58.03838
2017-08-14,52.0,26.0,40.0,2.0,25.0,0.74,83.0,52.80492
2017-08-15,77.0,52.0,73.0,3.0,30.0,0.91,94.0,81.85575
2017-08-16,87.0,56.0,71.0,2.0,36.0,0.86,62.0,83.340096
2017-08-17,48.0,21.0,34.0,2.0,26.0,0.67,73.0,46.965115
2017-08-18,76.0,51.0,72.0,2.0,50.0,1.14,60.0,73.132256
2017-08-19,64.0,41.0,50.0,2.0,31.0,1.0,75.0,67.25929
2017-08-20,84.0,59.0,71.0,2.0,35.0,1.19,77.0,82.811
2017-08-21,103.0,68.0,92.0,2.0,36.0,1.04,108.0,104.42995
2017-08-22,104.0,77.0,94.0,2.0,33.0,0.93,67.0,107.76201
2017-08-23,48.0,10.0,28.0,2.0,25.0,0.51,81.0,43.93088
2017-08-24,41.0,13.0,36.0,2.0,35.0,0.52,40.0,39.987896
2017-08-25,38.0,8.0,34.0,2.0,35.0,0.41,38.0,37.24747
2017-08-26,50.0,13.0,53.0,2.0,46.0,0.52,29.0,47.411118
2017-08-27,35.0,16.0,27.0,2.0,27.0,0.52,55.0,38.07925
2017-08-28,36.0,18.0,17.0,2.0,25.0,0.49,39.0,31.376572
2017-08-29,43.0,14.0,45.0,3.0,34.0,0.47,41.0,42.533173
2017-08-30,74.0,50.0,85.0,3.0,42.0,0.79,70.0,79.71332
2017-08-31,106.0,79.0,97.0,2.0,33.0,0.88,65.0,109.6367
2017-09-01,177.0,134.0,149.0,2.0,38.0,1.39,71.0,176.03325
2017-09-02,148.0,109.0,118.0,2.0,32.0,1.16,79.0,145.02213
2017-09-03,77.0,55.0,77.0,3.0,29.0,0.77,87.0,84.331184
2017-09-04,117.0,87.0,111.0,3.0,34.0,0.9,93.0,119.697845
2017-09-05,67.0,39.0,59.0,2.0,33.0,0.65,51.0,64.77778
2017-09-06,47.0,14.0,47.0,2.0,40.0,0.48,56.0,48.51069
2017-09-07,85.0,42.0,97.0,2.0,46.0,0.72,102.0,87.27114
2017-09-08,139.0,106.0,134.0,2.0,58.0,1.08,51.0,143.52937
2017-09-09,110.0,78.0,115.0,2.0,31.0,1.12,148.0,128.40294
2017-09-10,121.0,90.0,104.0,3.0,40.0,1.14,56.0,124.9155
2017-09-11,43.0,19.0,36.0,2.0,38.0,0.5,46.0,42.395638
2017-09-12,50.0,19.0,55.0,1.0,41.0,0.5,59.0,55.253654
